date,report,R,death
2021-11-01,23,0,0
2021-11-02,21,9,0
2021-11-03,0,9,0
2021-11-04,8,15,0
2021-11-05,22,27,0
2021-11-06,22,33,0
2021-11-07,0,33,0
2021-11-08,0,33,0
2021-11-09,70,56,0
2021-11-10,45,81,0
2021-11-11,21,91,0
2021-11-12,0,91,0
2021-11-13,28,124,1
2021-11-14,0,124,1
2021-11-15,97,169,1
2021-11-16,8,169,1
2021-11-17,36,265,1
2021-11-18,27,309,2
2021-11-19,32,343,2
2021-11-20,0,343,2
2021-11-21,0,343,2
2021-11-22,45,417,2
2021-11-23,20,439,2
2021-11-24,8,464,2
2021-11-25,15,475,2
2021-11-26,6,496,3
2021-11-27,0,496,3
2021-11-28,0,496,3
2021-11-29,32,555,3
2021-11-30,7,574,3
2021-12-01,5,574,3
2021-12-02,14,587,4
2021-12-03,4,595,4
2021-12-04,0,595,4
2021-12-05,0,595,4
2021-12-06,17,618,4
2021-12-07,2,628,4
2021-12-08,5,631,4
2021-12-09,6,635,4
2021-12-10,13,647,4
2021-12-11,0,647,4
2021-12-12,0,647,4
2021-12-13,17,663,4
2021-12-14,5,667,4
2021-12-15,4,676,4
2021-12-16,8,685,4
2021-12-17,7,695,4
2021-12-18,0,695,4
2021-12-19,0,695,4
2021-12-20,29,714,4
2021-12-21,2,719,4
2021-12-22,0,721,4
2021-12-23,9,728,4
2021-12-24,7,735,4
2021-12-25,0,735,4
2021-12-26,0,735,4
2021-12-27,0,735,4
2021-12-28,0,735,4
2021-12-29,27,767,4
2021-12-30,34,773,4
2021-12-31,26,779,5
2022-01-01,0,779,5
2022-01-02,0,779,5
2022-01-03,158,779,5
2022-01-04,31,810,5
2022-01-05,66,830,5
2022-01-06,74,878,5
2022-01-07,41,919,5
2022-01-08,0,919,5
2022-01-09,0,919,5
2022-01-10,197,1086,5
2022-01-11,123,1142,5
2022-01-12,70,1197,5
2022-01-13,56,1259,5
2022-01-14,67,1336,5
2022-01-15,0,1336,5
2022-01-16,0,1336,5
2022-01-17,82,1543,5
